COD,x1,x2,x3,x4,x5,x6,x7
BE,7376417,20177486,23.92,9853,1763,6946638,36613
BE1,992289,1782873,20.27,397,11,582586,3703
BE10,992289,1782873,20.27,397,11,582586,3703
BE2,4431080,13276415,24.01,6144,883,4228665,22522
BE21,779057,2056957,18.91,1168,220,1102614,6460
BE22,738684,2406418,27.94,958,106,578434,2964
BE23,516814,1164263,25.71,1244,196,884821,5723
BE24,399046,805360,17.42,562,175,888618,3013
BE25,1997479,6843417,28.23,2212,187,774178,4362
BE3,1953048,5118198,28.63,3312,869,2121948,10388
BE31,120023,196377,21.52,101,63,245926,990
BE32,279600,677447,26.02,403,284,764451,3752
BE33,628791,1553652,30.16,1044,266,633110,3278
BE34,622514,1902634,32.12,1071,154,179493,883
BE35,302120,788088,31.9,693,103,298968,1485
BG,4023763,11968483,26.5,3317,806,3385940,7121
BG3,2217582,7832375,27.9,2008,335,1568560,3981
BG31,186940,529175,23.4,177,17,331515,1000
BG32,256989,515240,16.2,286,0,365282,996
BG33,814074,2881380,28.2,627,95,421314,1029
BG34,959579,3906580,31.2,918,223,450449,956
BG4,1806181,4136108,24.2,1309,471,1817380,3140
BG41,1015149,2294523,23.2,577,279,1182968,1389
BG42,791032,1841585,25.7,732,192,634412,1751
DE1,11470976,28238347,27.56,6478,1054,7538234,39620
DE2,19144008,23165099,30.08,11602,2548,9366055,57179
DE3,4938028,12109817,26.23,799,77,1345859,15326
DE30,4938028,12109817,26.23,799,77,1345859,15326
DE4,3173872,8510752,32.57,1714,806,1650760,10161
DE40,3173872,8510752,32.57,1714,806,1650760,10161
DE5,706693,1410560,26.69,126,80,319206,3124
DE50,706693,1410560,26.69,126,80,319206,3124
DE6,3169744,6840780,30.43,428,76,881609,7894
DE60,3169744,6840780,30.43,428,76,881609,7894
DE7,6606204,14457384,23.5,3321,966,4160783,22352
DE8,5941244,25355517,44.79,3279,578,998305,6035
DE80,5941244,25355517,44.79,3279,578,998305,6035
DE9,8453310,25878433,28.15,5659,1452,5423732,34974
DEA,10372018,21831325,23.27,4606,2260,1233586,26680
DEB,5309524,13494246,27.46,3376,877,2885981,16333
DEC,595806,1388702,24,270,240,703033,3988
Dec-00,595806,1388702,24,270,240,703033,3988
DED,4702071,11370783,30.31,2044,575,2449663,14621
DEE,2181460,5082576,27.36,1134,507,1385268,8888
DEE0,2181460,5082576,27.36,1134,507,1385268,8888
DEF,6106762,26507948,38.93,3879,545,1907269,13876
DEF0,6106762,26507948,38.93,3879,545,1907269,13876
DEG,2231003,5115603,28.69,1272,521,1376322,6499
DEG0,2231003,5115603,28.69,1272,521,1376322,6499
ES1,4327371,11415659,25,7510,1852,2907373,7815
ES11,2013485,4793625,22,3058,1143,1891857,4697
ES12,1265180,3536140,29,2946,454,633754,2022
ES13,1048706,3085895,33,1506,255,381762,1096
ES2,4134080,9581978,27,6947,1919,2658308,8228
ES21,1530157,3312181,29,1277,499,1232164,4786
ES22,614648,1548449,24,1950,419,429099,705
ES23,279707,630668,22,467,181,197048,564
ES24,1709571,4090680,27,3253,820,799997,2173
ES3,4029310,9083550,33,1866,767,4657101,13322
ES30,4029310,9083550,33,1866,767,4657101,13322
ES4,4394322,8841812,21,11901,4930,3904727,7258
ES41,2371469,4805007,22,6651,2411,1676908,3399
ES42,1183385,2429570,19,3560,1816,1451921,2511
ES43,839467,1607233,21,1690,703,775898,1348
ES5,14859227,20167005,30,13447,2763,8487086,32457
ES51,8365287,24187883,30,6714,1470,4420463,22530
ES52,4713169,18289697,33,3980,1199,3173083,7237
ES53,1780773,7689424,29,2753,94,893540,2690
ES6,9436851,26447673,30,9201,3266,6331141,20817
ES61,8671831,24061729,30,8630,2668,5242857,17456
ES62,713918,2256175,28,546,598,977179,2789
ES63,27350,70874,33,14,0,50260,246
ES64,23752,58895,25,11,0,60845,326
ES7,4435809,29139353,46,2302,276,1585055,4665
ES70,4435809,29139353,46,2302,276,1585055,4665
CY,1104518,3725254,28.7,816,257,700852,429
CY0,1104518,3725254,28.7,816,257,700852,429
CY00,1104518,3725254,28.7,816,257,700852,429
LT,2126714,4931757,23.7,3352,400,1727868,3193
LT0,2126714,4931757,23.7,3352,400,1727868,3193
LT01,530048,1076006,18.5,705,100,490265,818
LT02,1596666,3855751,26.9,2647,300,1231114,2375
AT,21671644,39133399,28,22399,1749,6214321,37730
AT1,4071238,10329391,19,4126,503,2460859,13181
AT11,651267,1990790,27,410,80,258669,826
AT12,1467157,3987757,18,1450,380,1395822,7191
AT13,1952814,4350844,17,2266,43,806368,5164
AT2,4630371,17788402,30,5295,550,1404389,8622
AT21,2091292,9475912,31,2721,243,444617,3046
AT22,2539079,8312490,28,2574,308,959772,5576
AT3,12970035,21015606,32,12978,695,2349073,15927
AT31,1603358,4725893,22,1565,299,1191511,7035
AT32,4022106,16229724,33,3577,144,387461,2791
AT33,6014458,25221795,33,6438,189,512477,4040
AT34,1330113,4838194,29,1398,63,257624,2061
PT,10995396,30157800,25.22,6850,3065,5686289,33935
SK,3095812,9437786,27.85,3331,521,2811152,5360
SK0,3095812,9437786,27.85,3331,521,2811152,5360
SK01,493638,1121355,17.19,305,117,515411,589
SK03,1178274,3582099,34.86,1265,120,631267,1486
FI,7342100,14323661,28.79,1372,933,4414336,4392
FI1,7256821,14163057,28.98,1297,933,4382694,4350
FI19,1720519,2927719,28.58,272,115,1207987,1219
FI1B,1568024,2842555,27.29,175,322,1092711,1037
FI1C,1255002,2217022,29.42,238,351,965052,1105
FI2,85279,160604,17.02,75,0,31642,42
FI20,85279,160604,17.02,75,0,31642,42
